Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
North Macedonia,127,83,172480,16,32586,28,57605,0,807,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2170
Northern Mariana Islands,118,79,4501,13,733,26,1463,1,580,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2105
Norway,98,79,423857,14,74088,5,26685,1,578,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2128
Oman,134,95,470297,13,63736,26,127213,1,512,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2237
Pakistan,118,74,15947645,16,3387131,28,5987614,0,586,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2158
Palau,118,79,1416,13,231,26,460,1,585,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2106
Panama,113,74,313897,13,54402,26,108582,1,591,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2079
Papua New Guinea,135,91,798767,16,137260,28,242642,0,598,Melanesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2097
Paraguay,116,72,510256,16,110179,28,194770,0,600,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2080
Peru,116,72,2354806,16,508472,28,898853,0,604,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2081
Philippines,130,86,9334477,16,1690968,28,2989216,0,608,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2146
Poland,95,56,2119455,13,485392,26,968807,1,616,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2039
Portugal,123,84,861786,13,131011,26,261488,1,620,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2171
Puerto Rico,113,74,216839,13,37581,26,75008,1,630,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2082
Qatar,134,95,267724,13,36283,26,72418,1,634,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2238
Republic of Korea,110,71,3657764,13,656263,26,1309852,1,410,Eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2034
Republic of Moldova,120,76,307419,16,63238,28,111789,0,498,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2040
Romania,109,70,1352979,13,248086,26,495161,1,642,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2041
Russian Federation,75,33,4868564,14,2001062,28,4033088,1,643,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2042
Rwanda,208,164,2075405,16,197489,28,349112,0,646,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2213
Saint Kitts and Nevis,113,74,3903,13,676,26,1350,1,659,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2084
Saint Lucia,116,72,13241,16,2859,28,5054,0,662,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2085
Saint Martin (French part),113,74,2809,13,487,26,972,1,663,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2086
Saint Vincent & Grenadines,116,72,8011,16,1730,28,3058,0,670,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2087
Samoa,120,76,14923,16,3083,28,5449,0,882,Polynesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2135
San Marino,123,84,2857,13,434,26,867,1,674,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2172
Sao Tome and Principe,144,100,21422,16,3364,28,5947,0,678,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2215
Saudi Arabia,151,105,3594080,20,673502,26,876260,1,682,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2239
Senegal,144,100,1622980,16,254879,28,450564,0,686,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2216
Serbia,105,83,726196,16,137199,6,52633,0,688,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2173
Seychelles,132,93,9128,13,1252,26,2498,1,690,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2217
Sierra Leone,147,103,802371,16,122200,28,216020,0,694,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2218
Singapore,119,80,465355,13,74361,26,148418,1,702,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2147
Sint Maarten (Dutch part),113,74,3134,13,543,26,1084,1,534,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2088
Slovakia,109,70,381273,13,69911,26,139538,1,703,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2043
