Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Confidence in estimate,M49 code,Region,Source
Greece,175,142,1483996,7,77332,26,267812,1,300,Southern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2165
Greenland,113,74,4178,13,726,26,1450,1,304,Northern America,https://www.unep.org/resources/report/unep-food-waste-index-report-2116
Grenada,116,72,8112,16,1752,28,3097,0,308,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2068
Guam,118,79,13165,13,2143,26,4278,1,316,Micronesia,https://www.unep.org/resources/report/unep-food-waste-index-report-2100
Guatemala,116,72,1273466,16,274979,28,486095,0,320,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2070
Guinea,147,103,1311530,16,199744,28,353099,0,324,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2197
Guinea-Bissau,147,103,197266,16,30043,28,53109,0,624,Sub-Saharan Africa,https://www.unep.org/resources/report/unep-food-waste-index-report-2198
Guyana,116,72,56700,16,12243,28,21643,0,328,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2071
Haiti,127,83,936940,16,176157,28,311403,0,332,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2072
Honduras,124,80,780504,16,152431,28,269461,0,340,Latin America and the Caribbean,https://www.unep.org/resources/report/unep-food-waste-index-report-2073
Hungary,133,94,908669,13,124074,26,247642,1,348,Eastern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2038
Iceland,115,76,25827,13,4343,26,8668,1,352,Northern Europe,https://www.unep.org/resources/report/unep-food-waste-index-report-2123
India,94,50,68760163,16,21371087,28,37778821,0,356,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2154
Indonesia,121,77,20938252,16,4232646,28,7482277,0,360,South-eastern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2142
Iran (Islamic Republic of),115,71,5884842,16,1296792,28,2292410,0,364,Southern Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2155
Iraq,164,120,4734434,16,614814,28,1086840,0,368,Western Asia,https://www.unep.org/resources/report/unep-food-waste-index-report-2232
